Country,PortName,VesselsinPort,Average_Departures,Average_Arrivals,Type,AreaLocal,AreaGlobal
China,ZHOUSHAN ANCH,118,150,147,Anchorage,East China Sea,Central China
China,LONGHAI,118,34,5,Port,East China Sea,South China
Philippines,MANILA ANCH,117,41,70,Anchorage,Philippines,Philippines
United Kingdom,SOUTHAMPTON,116,126,119,Port,English Channel,UK Coast & Atlantic
Indonesia,BANJARMASIN,116,35,67,Port,Java Sea,Indonesia
Malta,MARSAMXETT,115,31,31,Port,West Mediterranean,West Mediterranean
Russia,NOVOROSSIYSK,114,56,56,Port,Black Sea,Black Sea
United Arab Emirates,FUJAIRAH,113,127,129,Port,Oman Gulf,Arabian Gulf
China,JINZHOU,113,193,114,Port,Bohai Sea,North China
China,WEIFANG,113,37,38,Port,Bohai Sea,North China
China,YIZHENG,113,77,106,Port,East China Sea,Central China
Greece,FLISVOS,113,13,35,Marina,Piraeus Area,East Mediterranean
Turkey,YALOVA,112,107,105,Port,Marmara Sea,Black Sea
Argentina,BUENOS AIRES,111,37,33,Port,East Coast South America,East Coast South America
United Arab Emirates,MUSAFFAH,111,30,20,Port,Persian Gulf,Arabian Gulf
Netherlands,MAKKUM,111,26,69,Port,North Sea,UK Coast & Atlantic
Netherlands,BRUINISSE,110,89,89,Port,North Sea,UK Coast & Atlantic
Korea,PYEONGTAEK,109,28,30,Port,Yellow Sea,North China
Vietnam,VUNG TAU,109,98,125,Port,South-East Asia,South-East Asia
China,ZHUHAI,109,104,108,Port,South China,South China
Australia,DARWIN,109,22,16,Port,Timor Sea,North Australia
China,CAOFEIDIAN ANCH,108,126,127,Anchorage,Bohai Sea,North China
France,LE HAVRE,107,69,79,Port,English Channel,UK Coast & Atlantic
Poland,SZCZECIN,107,18,24,Port,Baltic Sea,Baltic Sea
Norway,OSLO,107,73,81,Port,Skagerrak,Norwegian Coast
USA,GALVESTON,106,123,130,Port,Gulf of Mexico,Gulf of Mexico
Germany,CUXHAVEN,105,45,55,Port,Elbe River,UK Coast & Atlantic
Indonesia,JAKARTA ANCH,105,52,71,Anchorage,Java Sea,Indonesia
South Africa,CAPE TOWN,104,56,58,Port,South Africa,South Africa
USA,SHILSHOLE,104,31,41,Port,US West Coast,US West Coast
Sweden,GOTEBORG,103,52,63,Port,Kattegat,Baltic Sea
Germany,BERLIN,103,18,20,Port,"Inland, Europe","Inland, Europe"
Turkey,FETHIYE,103,58,60,Port,East Mediterranean,East Mediterranean
Poland,GDYNIA,102,54,48,Port,Baltic Sea,Baltic Sea
China,YANTAI ANCH,102,264,266,Anchorage,Bohai Sea,North China
Russia,KAVKAZ SOUTH ANCH,101,48,56,Anchorage,Azov Sea,Black Sea
China,BAYUQUAN,100,120,87,Port,Bohai Sea,North China
Bahrain,SITRAH,100,44,41,Port,Persian Gulf,Arabian Gulf
China,XINSHA,99,66,70,Port,South China,South China
Germany,DUISBURG,98,63,78,Port,"Inland, Europe","Inland, Europe"
United Kingdom,LYMINGTON,98,72,76,Port,English Channel,UK Coast & Atlantic
Netherlands,LEMMER,97,81,83,Port,North Sea,UK Coast & Atlantic
Australia,BRISBANE,96,18,24,Port,Coral Sea,East Australia
China,SHEKOU,96,159,156,Port,South China,South China
France,BREST,96,38,66,Port,Biscay Bay,UK Coast & Atlantic
China,HONGWAN,96,31,47,Port,South China,South China
Belgium,ZEEBRUGGE,95,41,45,Port,North Sea,UK Coast & Atlantic
Portugal,LISBOA,95,158,173,Port,UK Coast & Atlantic,UK Coast & Atlantic
United Kingdom,MERCURY,94,24,62,Marina,English Channel,UK Coast & Atlantic
Hungary,BUDAPEST,93,17,21,Port,"Inland, Europe","Inland, Europe"
Spain,VIGO,93,65,75,Port,UK Coast & Atlantic,UK Coast & Atlantic
USA,BOSTON,93,67,72,Port,US East Coast,US East Coast
Macao,MACAU,93,48,46,Port,South China,South China
China,DALIAN ANCH,93,123,123,Anchorage,Yellow Sea,North China
China,BAYUQUAN ANCH,93,61,108,Anchorage,Bohai Sea,North China
Colombia,CARTAGENA,92,126,136,Port,North Coast South America,North Coast South America
Saudi Arabia,DAMMAM,92,35,39,Port,Persian Gulf,Arabian Gulf
USA,PORTLAND OR,92,45,64,Port,US West Coast,US West Coast
United Kingdom,LONDON,92,112,110,Port,North Sea,UK Coast & Atlantic
Monaco,MONACO,92,42,50,Port,Ligurean Sea,West Mediterranean
China,QUSHAN,92,121,120,Port,East China Sea,Central China
Belgium,NIEUWPOORT,92,36,45,Port,English Channel,UK Coast & Atlantic
